L_slow,L_fast,L_diff,n,d,k,seed,subsample_size
19.648638712496187,17.24387551866402,-2.404763193832167,531441,12,5,0,0.01
17.78339387150175,17.24387551866402,-0.5395183528377316,531441,12,5,0,0.01
17.28351289561733,17.24387551866402,-0.03963737695331204,531441,12,5,0,0.01
17.249112238422594,17.24387551866402,-0.005236719758574537,531441,12,5,0,0.01
17.261398097149897,17.24387551866402,-0.01752257848587746,531441,12,5,0,0.01
17.270929807731875,17.24387551866402,-0.027054289067855564,531441,12,5,0,0.01
17.275757497278274,17.245507723754436,-0.030249773523838286,531441,12,5,0,0.01
17.278164528292695,17.245507723754436,-0.032656804538259365,531441,12,5,0,0.01
17.279277114740264,17.245507723754436,-0.033769390985828096,531441,12,5,0,0.01
17.27989590136257,17.245507723754436,-0.03438817760813251,531441,12,5,0,0.01
17.280175637381276,17.245507723754436,-0.03466791362684063,531441,12,5,0,0.01
17.280326958734634,17.245507723754436,-0.03481923498019768,531441,12,5,0,0.01
17.280443553498095,17.245507723754436,-0.0349358297436595,531441,12,5,0,0.01
17.280532024869064,17.245507723754436,-0.03502430111462829,531441,12,5,0,0.01
17.280595342494156,17.245507723754436,-0.03508761873971977,531441,12,5,0,0.01
17.280644830306777,17.245507723754436,-0.035137106552340924,531441,12,5,0,0.01
17.280665707972464,17.245507723754436,-0.03515798421802785,531441,12,5,0,0.01
17.280688764331114,17.245507723754436,-0.0351810405766777,531441,12,5,0,0.01
17.280708395181527,17.245507723754436,-0.03520067142709138,531441,12,5,0,0.01
17.2807342381349,17.245507723754436,-0.03522651438046509,531441,12,5,0,0.01
17.28074659609266,17.245507723754436,-0.03523887233822265,531441,12,5,0,0.01
17.280753632943004,17.245507723754436,-0.03524590918856774,531441,12,5,0,0.01
17.280759154816018,17.245507723754436,-0.035251431061581684,531441,12,5,0,0.01
17.280771147059692,17.245507723754436,-0.035263423305256225,531441,12,5,0,0.01
17.28077317704894,17.245507723754436,-0.035265453294503146,531441,12,5,0,0.01
17.28078534223806,17.245507723754436,-0.03527761848362587,531441,12,5,0,0.01
17.280797705390043,17.245507723754436,-0.03528998163560715,531441,12,5,0,0.01
17.280798807343732,17.245507723754436,-0.035291083589296335,531441,12,5,0,0.01
17.280799926750962,17.245507723754436,-0.035292202996526356,531441,12,5,0,0.01
17.280799926750962,17.245507723754436,-0.035292202996526356,531441,12,5,0,0.01
