L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
4.971184762204289,3.8565865689605645,-1.1145981932437246,100000,3,6,0,0.01,46
4.254195827713037,3.8565865689605645,-0.39760925875247244,100000,3,6,0,0.01,46
4.02272610776403,3.8565865689605645,-0.16613953880346566,100000,3,6,0,0.01,46
3.89829381258225,3.8565865689605645,-0.04170724362168565,100000,3,6,0,0.01,46
3.8518064708933504,3.8565865689605645,0.0047800980672141336,100000,3,6,0,0.01,46
3.839428879170942,3.8565865689605645,0.0171576897896224,100000,3,6,0,0.01,46
3.8370790262989245,3.8565865689605645,0.01950754266164001,100000,3,6,0,0.01,46
3.836442428851719,3.8565865689605645,0.020144140108845576,100000,3,6,0,0.01,46
3.8361112676338602,3.8565865689605645,0.020475301326704276,100000,3,6,0,0.01,46
3.835818410874746,3.8565865689605645,0.020768158085818555,100000,3,6,0,0.01,46
3.835477078378715,3.8565865689605645,0.02110949058184941,100000,3,6,0,0.01,46
3.835123472958297,3.8565865689605645,0.0214630960022677,100000,3,6,0,0.01,46
3.834808894078655,3.8565865689605645,0.021777674881909626,100000,3,6,0,0.01,46
3.834563339592277,3.8565865689605645,0.022023229368287378,100000,3,6,0,0.01,46
3.8343265238870883,3.8565865689605645,0.02226004507347623,100000,3,6,0,0.01,46
3.8341034377280314,3.8584485175758996,0.024345079847868156,100000,3,6,0,0.01,46
3.8339550027087115,3.8584485175758996,0.024493514867188093,100000,3,6,0,0.01,46
3.8338276668804996,3.8565865689605645,0.022758902080064924,100000,3,6,0,0.01,46
3.833692567279127,3.8518282888281252,0.01813572154899834,100000,3,6,0,0.01,46
3.833523159323576,3.8518282888281252,0.0183051295045491,100000,3,6,0,0.01,46
3.8333588965971255,3.8502058598214113,0.016846963224285805,100000,3,6,0,0.01,46
3.8332299303404453,3.8502058598214113,0.016975929480965934,100000,3,6,0,0.01,46
3.8331194275485165,3.8502058598214113,0.017086432272894747,100000,3,6,0,0.01,46
3.8330320046535165,3.8502058598214113,0.017173855167894825,100000,3,6,0,0.01,46
3.83293000280004,3.8502058598214113,0.017275857021371355,100000,3,6,0,0.01,46
3.8328412401093637,3.8502058598214113,0.017364619712047613,100000,3,6,0,0.01,46
3.832764966642359,3.8502058598214113,0.017440893179052175,100000,3,6,0,0.01,46
3.832706975807589,3.8502058598214113,0.01749888401382238,100000,3,6,0,0.01,46
3.832644600589017,3.8502058598214113,0.017561259232394377,100000,3,6,0,0.01,46
3.8325750694394896,3.8502058598214113,0.017630790381921724,100000,3,6,0,0.01,46
3.8325143534265935,3.8502058598214113,0.017691506394817758,100000,3,6,0,0.01,46
3.832436130576854,3.8502058598214113,0.01776972924455711,100000,3,6,0,0.01,46
3.832376894904862,3.8502058598214113,0.01782896491654906,100000,3,6,0,0.01,46
3.8323248170399156,3.8502058598214113,0.017881042781495715,100000,3,6,0,0.01,46
3.8322877575455334,3.849481374151755,0.01719361660622143,100000,3,6,0,0.01,46
3.832255270046329,3.849481374151755,0.01722610410542602,100000,3,6,0,0.01,46
3.8322345166894225,3.849481374151755,0.017246857462332343,100000,3,6,0,0.01,46
3.832215332422763,3.849481374151755,0.017266041728992043,100000,3,6,0,0.01,46
3.832203416395553,3.849481374151755,0.01727795775620189,100000,3,6,0,0.01,46
3.832196838502228,3.849481374151755,0.017284535649527033,100000,3,6,0,0.01,46
3.8321914445470333,3.849481374151755,0.017289929604721532,100000,3,6,0,0.01,46
3.8321857706099527,3.849481374151755,0.01729560354180215,100000,3,6,0,0.01,46
3.832176427736476,3.849481374151755,0.0173049464152788,100000,3,6,0,0.01,46
3.832164224966309,3.849481374151755,0.017317149185446024,100000,3,6,0,0.01,46
3.832154254502637,3.849481374151755,0.01732711964911804,100000,3,6,0,0.01,46
3.832148671550301,3.849481374151755,0.01733270260145403,100000,3,6,0,0.01,46
3.8321455028783658,3.849481374151755,0.017335871273389092,100000,3,6,0,0.01,46
