L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps
69.26693140007512,69.22168613874753,-0.045245261327593767,59049,10,5,0,0.01,32
69.1786572037712,,,59049,10,5,0,0.01,32
69.16265169970619,69.21589440410953,0.05324270440334544,59049,10,5,0,0.01,32
69.15577359562248,69.20143655670647,0.04566296108399115,59049,10,5,0,0.01,32
69.15306944464514,69.19452934577465,0.04145990112951381,59049,10,5,0,0.01,32
69.15189703702896,69.19806839790638,0.04617136087742324,59049,10,5,0,0.01,32
69.15126953758303,69.1972749706422,0.0460054330591646,59049,10,5,0,0.01,32
69.15074614570749,69.19792643931873,0.0471802936112482,59049,10,5,0,0.01,32
69.15032137169716,69.19694800419774,0.04662663250057619,59049,10,5,0,0.01,32
69.14986476598921,69.19600285181204,0.04613808582283241,59049,10,5,0,0.01,32
69.14946487960917,69.1971224756014,0.04765759599223429,59049,10,5,0,0.01,32
69.14914302465017,69.2002125311375,0.051069506487323224,59049,10,5,0,0.01,32
69.14884386919563,69.19981314946949,0.05096928027386127,59049,10,5,0,0.01,32
69.1485672805959,69.1945749930441,0.04600771244820123,59049,10,5,0,0.01,32
69.14833467898333,69.20186565006483,0.053530971081499956,59049,10,5,0,0.01,32
69.14815236335191,69.20186565006483,0.053713286712920194,59049,10,5,0,0.01,32
69.14801744350176,69.19113537130328,0.04311792780151791,59049,10,5,0,0.01,32
69.14787722709633,69.19053184649606,0.04265461939972681,59049,10,5,0,0.01,32
69.14772831146169,69.19053184649606,0.04280353503436629,59049,10,5,0,0.01,32
69.14759462924616,69.18885640126608,0.041261772019922205,59049,10,5,0,0.01,32
69.14746900224978,69.18885640126608,0.041387399016301174,59049,10,5,0,0.01,32
69.14730962697955,69.18943970780896,0.04213008082940917,59049,10,5,0,0.01,32
69.14714450151577,69.18943970780896,0.042295206293189835,59049,10,5,0,0.01,32
69.14695150166634,69.1909003242525,0.04394882258615951,59049,10,5,0,0.01,32
69.1467878758125,69.19439144627462,0.047603570462115385,59049,10,5,0,0.01,32
69.14664535907411,69.1917066943777,0.04506133530358625,59049,10,5,0,0.01,32
69.1465096662765,69.19332666920417,0.04681700292766777,59049,10,5,0,0.01,32
69.14638905012285,69.19710859007398,0.050719539951131765,59049,10,5,0,0.01,32
69.14629184716107,69.19710859007398,0.05081674291291449,59049,10,5,0,0.01,32
69.14619188848948,69.19693082029089,0.050738931801404874,59049,10,5,0,0.01,32
69.1460916627724,69.19693082029089,0.05083915751848167,59049,10,5,0,0.01,32
69.14601997623865,69.19693082029089,0.05091084405223967,59049,10,5,0,0.01,32
69.1459537090639,69.19693082029089,0.05097711122698456,59049,10,5,0,0.01,32
