L_slow_list,L_fast_list,L_diff_list,n,d,k,seed,subsample_size
1.9978852457052778,1.7975304160404357,-0.20035482966484208,100000,3,6,0,0.01
1.877597882511141,1.7975304160404357,-0.08006746647070528,100000,3,6,0,0.01
1.833843372235955,1.7975304160404357,-0.03631295619551933,100000,3,6,0,0.01
1.807431610893335,1.7975304160404357,-0.009901194852899309,100000,3,6,0,0.01
1.7965855262672084,1.7975304160404357,0.0009448897732273753,100000,3,6,0,0.01
1.7935334038441384,1.7975304160404357,0.003997012196297334,100000,3,6,0,0.01
1.7929117485391637,1.7975304160404357,0.004618667501272045,100000,3,6,0,0.01
1.7927499465881154,1.7975304160404357,0.004780469452320357,100000,3,6,0,0.01
1.792683768939349,1.7975304160404357,0.004846647101086621,100000,3,6,0,0.01
1.7926309881742357,1.7975304160404357,0.004899427866200012,100000,3,6,0,0.01
1.7925744566891624,1.7975304160404357,0.0049559593512733535,100000,3,6,0,0.01
1.792517183424836,1.7975304160404357,0.0050132326155998275,100000,3,6,0,0.01
1.792471363017146,1.7975304160404357,0.0050590530232896835,100000,3,6,0,0.01
1.792440328733712,1.7975304160404357,0.005090087306723667,100000,3,6,0,0.01
1.7924093090099011,1.7975304160404357,0.0051211070305345885,100000,3,6,0,0.01
1.7923812781514723,1.797853968359575,0.005472690208102593,100000,3,6,0,0.01
1.7923584787259874,1.797853968359575,0.00549548963358748,100000,3,6,0,0.01
1.792341608100133,1.7975304160404357,0.005188807940302631,100000,3,6,0,0.01
1.792321613499299,1.7957241700938578,0.003402556594558792,100000,3,6,0,0.01
1.792300865357236,1.7957241700938578,0.0034233047366216685,100000,3,6,0,0.01
1.7922777101850733,1.795390312364279,0.0031126021792056147,100000,3,6,0,0.01
1.792264624431871,1.795390312364279,0.0031256879324079723,100000,3,6,0,0.01
1.7922560754276236,1.795390312364279,0.003134236936655377,100000,3,6,0,0.01
1.79224954188604,1.795390312364279,0.003140770478238908,100000,3,6,0,0.01
1.792243711294256,1.795390312364279,0.0031466010700229585,100000,3,6,0,0.01
1.7922335075824218,1.795390312364279,0.003156804781857092,100000,3,6,0,0.01
1.7922246248610487,1.795390312364279,0.003165687503230208,100000,3,6,0,0.01
1.7922251900123525,1.795390312364279,0.0031651223519264526,100000,3,6,0,0.01
1.7922228107185423,1.795390312364279,0.003167501645736648,100000,3,6,0,0.01
1.7922158767956597,1.795390312364279,0.0031744355686191827,100000,3,6,0,0.01
1.7922137975522021,1.795390312364279,0.003176514812076814,100000,3,6,0,0.01
1.7922096362543076,1.795390312364279,0.0031806761099713032,100000,3,6,0,0.01
1.7922112651559279,1.795390312364279,0.003179047208351049,100000,3,6,0,0.01
1.792205573647845,1.795390312364279,0.003184738716433877,100000,3,6,0,0.01
1.7922037335519772,1.7951729956994116,0.002969262147434426,100000,3,6,0,0.01
1.7922101741860335,1.7951729956994116,0.002962821513378122,100000,3,6,0,0.01
1.7922147745473567,1.7951729956994116,0.0029582211520549073,100000,3,6,0,0.01
1.7922182966754534,1.7951729956994116,0.002954699023958174,100000,3,6,0,0.01
1.792229668390081,1.7951729956994116,0.0029433273093306678,100000,3,6,0,0.01
1.7922350020563658,1.7951729956994116,0.002937993643045811,100000,3,6,0,0.01
1.7922372395785007,1.7951729956994116,0.002935756120910904,100000,3,6,0,0.01
1.7922373908156544,1.7951729956994116,0.0029356048837572146,100000,3,6,0,0.01
1.792235595607783,1.7951729956994116,0.0029374000916286835,100000,3,6,0,0.01
1.7922327610811126,1.7951729956994116,0.0029402346182989536,100000,3,6,0,0.01
1.7922292877711774,1.7951729956994116,0.002943707928234174,100000,3,6,0,0.01
1.7922284345985504,1.7951729956994116,0.002944561100861165,100000,3,6,0,0.01
1.7922292859319708,1.7951729956994116,0.0029437097674407386,100000,3,6,0,0.01
1.792229411591741,1.7951729956994116,0.0029435841076705938,100000,3,6,0,0.01
1.7922327634118713,1.7951729956994116,0.0029402322875402565,100000,3,6,0,0.01
1.7922343160051868,1.7951729956994116,0.0029386796942247884,100000,3,6,0,0.01
