L_slow_list,L_fast_list,L_diff_list
1.2917215280360217,1.1536292250616833,-0.1380923029743384
1.209316008744724,1.1536292250616833,-0.055686783683040586
1.1727022776531288,1.1536292250616833,-0.01907305259144554
1.1602258890545825,1.1536292250616833,-0.006596663992899154
1.156079512238367,1.1536292250616833,-0.0024502871766836076
1.154705729538194,1.1536292250616833,-0.0010765044765106424
1.1542320689306849,1.1536292250616833,-0.000602843869001557
1.1540577578807785,1.1536292250616833,-0.00042853281909516205
1.1539897724302934,1.1536292250616833,-0.00036054736861013126
1.1539613591504059,1.1536292250616833,-0.0003321340887225688
1.1539473386436796,1.1536292250616833,-0.00031811358199629325
1.1539409521733,1.1536292250616833,-0.00031172711161664424
1.153936395473217,1.1536292250616833,-0.00030717041153360825
1.153933920914877,1.1536292250616833,-0.0003046958531935928
1.153932135362142,1.1536292250616833,-0.000302910300458592
1.15393107500483,1.1536292250616833,-0.00030184994314663705
1.1539304571790412,1.1536292250616833,-0.0003012321173578858
1.1539301605408767,1.1536292250616833,-0.00030093547919340935
1.1539301527743646,1.1536292250616833,-0.00030092771268130925
1.1539303546290136,1.1536292250616833,-0.00030112956733030494
1.1539304734406584,1.1536292250616833,-0.00030124837897504975
1.1539303551852473,1.1536292250616833,-0.0003011301235640307
1.1539303269666965,1.1536292250616833,-0.00030110190501320133
1.1539302559683917,1.1536292250616833,-0.0003010309067084105
1.1539302922322134,1.1536292250616833,-0.00030106717053013377
1.1539303289658849,1.1536292250616833,-0.00030110390420157174
1.1539303289658849,1.1536292250616833,-0.00030110390420157174
